ID,名前,レベル,タイプ,性格,説明,カラーコード,能力
balanced_1,ポモたま,1,バランス型,好奇心旺盛で元気いっぱい,バランス型の初期キャラクター,#FF6B6B,基本的な集中力・基本的な成長
focused_1,フォカたま,1,集中型,真面目で集中力が高い,集中型の初期キャラクター,#4ECDC4,基本的な集中・基本的な集中力
consistent_1,コンたま,1,継続型,忍耐強く継続力がある,継続型の初期キャラクター,#F39C12,基本的な成長・基本的な集中
balanced_2,ポモっこ,2,バランス型,協調性があり多才,バランス型の第一進化,#FF6B6B,基本的な集中力・基本的な成長・適応力
focused_2,フォカっこ,2,集中型,分析的で冷静,集中型の第一進化,#4ECDC4,基本的な集中・基本的な集中力・ディープワーク
consistent_2,コンっこ,2,継続型,粘り強く安定している,継続型の第一進化,#F39C12,基本的な成長・基本的な集中・ストリーク保護
balanced_focused_2,ポモフォカっこ,2,バランス・集中型,柔軟で集中力も高い,バランス・集中型の進化,#9370DB,基本的な集中力・基本的な集中・フロー状態
balanced_consistent_2,ポモコンっこ,2,バランス・継続型,安定していて多才,バランス・継続型の進化,#4ECDC4,基本的な成長・適応力・ストリーク保護
focused_balanced_2,フォカポモっこ,2,集中・バランス型,集中力があり柔軟,集中・バランス型の進化,#7986CB,基本的な集中・適応力・ディープワーク
focused_consistent_2,フォカコンっこ,2,集中・継続型,集中力と継続力を兼ね備える,集中・継続型の進化,#5E35B1,基本的な集中・ストリーク保護・ディープワーク
consistent_balanced_2,コンポモっこ,2,継続・バランス型,継続力があり多才,継続・バランス型の進化,#FFA726,基本的な成長・適応力・習慣化マスター
consistent_focused_2,コンフォカっこ,2,継続・集中型,継続的に集中できる,継続・集中型の進化,#FF7043,基本的な集中・習慣化マスター・フロー状態
balanced_balanced_balanced_3,ポモバラ,3,超バランス型,万能で適応力が高い,超バランス型の進化,#FF6B6B,基本的な集中力・基本的な成長・適応力・多才性
focused_focused_focused_3,フォカマスター,3,超集中型,超集中力の持ち主,超集中型の進化,#4ECDC4,基本的な集中・基本的な集中力・ディープワーク・フロー状態
consistent_consistent_consistent_3,コンマスター,3,超継続型,継続の達人,超継続型の進化,#F39C12,基本的な成長・基本的な集中・ストリーク保護・習慣化マスター
balanced_focused_consistent_3,トライフォース,3,三属性バランス型,全ての能力を兼ね備えた万能型,三属性バランス型の進化,#8BC34A,適応力・ディープワーク・ストリーク保護・実績ハンター
balanced_focused_balanced_3,ポモウィズ,3,知恵と集中型,知的で冷静バランスの取れた判断力を持つ,知恵と集中のマスター,#8E44AD,適応力・ディープワーク・多才性・実績ハンター
consistent_balanced_consistent_3,コンセイジ,3,継続の賢者型,忍耐強く安定した成長を続ける,継続の賢者,#D35400,ストリーク保護・適応力・習慣化マスター・効率的な休憩
focused_consistent_focused_3,フォカゼン,3,禅の集中型,瞑想的で深い集中力を持つ,禅の集中マスター,#2980B9,ディープワーク・ストリーク保護・フロー状態・効率的な休憩
ninja_focused_3,ニンジャフォーカス,3,忍者集中型,静かで素早く影のように集中する,忍者の集中力を持つキャラクター,#2C3E50,ディープワーク・フロー状態・忍者の集中力・効率的な休憩
samurai_consistent_3,サムライスピリット,3,侍継続型,規律正しく揺るぎない意志を持つ,侍の精神を持つキャラクター,#C0392B,ストリーク保護・習慣化マスター・侍の規律・実績ハンター
balanced_balanced_balanced_balanced_4,ポモキング,4,究極バランス型,完璧なバランスの達人,究極バランス型,#E91E63,適応力・多才性・実績ハンター・ゲームマスター・特別なアンロック
focused_focused_focused_focused_4,フォカキング,4,究極集中型,超人的な集中力の持ち主,究極集中型,#3F51B5,ディープワーク・フロー状態・効率的な休憩・ゲームマスター・タイムワープ
balanced_consistent_focused_balanced_4,ポモセージ,4,調和の賢者型,全ての要素を調和させる賢者,調和の賢者,#16A085,適応力・ストリーク保護・ディープワーク・実績ハンター・特別なアンロック
focused_balanced_focused_consistent_4,フォカロード,4,集中の支配者型,強力な集中力と継続性を兼ね備えた支配者,集中の支配者,#5D3FD3,ディープワーク・多才性・フロー状態・ストリーク保護・タイムワープ
consistent_focused_consistent_balanced_4,コンタイタン,4,継続の巨人型,揺るぎない意志と継続力を持つ巨人,継続の巨人,#F39C12,ストリーク保護・ディープワーク・習慣化マスター・多才性・ゲームマスター
dragon_balanced_4,ドラゴンマスター,4,龍バランス型,威厳があり強大な力を秘める,龍の力を宿すキャラクター,#E74C3C,適応力・多才性・ドラゴンブレス・ゲームマスター・特別なアンロック
phoenix_consistent_4,フェニックスリバース,4,不死鳥継続型,何度でも立ち上がる不屈の精神,不死鳥の再生力を持つキャラクター,#F39C12,ストリーク保護・習慣化マスター・フェニックスの再生・実績ハンター・タイムワープ
balanced_balanced_balanced_balanced_balanced_5,ポモゴッド,5,伝説バランス型,伝説の存在,伝説のバランスマスター,#C2185B,適応力・多才性・実績ハンター・ゲームマスター・特別なアンロック・タイムワープ
balanced_focused_consistent_balanced_focused_5,ポモエンペラー,5,時間の皇帝型,時間を支配する皇帝全ての能力を極めた存在,時間の皇帝,#6C3483,適応力・ディープワーク・ストリーク保護・実績ハンター・特別なアンロック・タイムワープ
focused_consistent_focused_consistent_focused_5,フォカオーバーロード,5,集中の覇王型,圧倒的な集中力と継続力を持つ覇王,集中の覇王,#1A237E,ディープワーク・ストリーク保護・フロー状態・習慣化マスター・効率的な休憩・タイムワープ
consistent_balanced_consistent_balanced_consistent_5,コンエターナル,5,永遠の継続者型,永遠に続く意志と安定した成長を持つ存在,永遠の継続者,#FF5722,ストリーク保護・適応力・習慣化マスター・多才性・実績ハンター・特別なアンロック
kitsune_focused_5,キツネノチエ,5,九尾の狐型,神秘的で賢く古い知恵を持つ,九尾の狐の知恵を持つキャラクター,#9B59B6,ディープワーク・フロー状態・狐の知恵・ゲームマスター・特別なアンロック・タイムワープ