ID,名前,レベル,タイプ,性格,説明,カラーコード,能力,コンセプト
balanced_1,ポモ,1,バランス型,好奇心旺盛で元気いっぱい,時間の精霊の卵から生まれたばかり,#FF6B6B,基本的な集中力・基本的な成長,誕生したての時間の精霊
focused_1,フォーカ,1,集中型,真面目で集中力が高い,集中の結晶から生まれた守護精霊,#4ECDC4,基本的な集中・基本的な集中力,集中の芽生え
consistent_1,コンティ,1,継続型,忍耐強く継続力がある,永遠の炎から生まれた小さな守り手,#F39C12,基本的な成長・基本的な集中,継続の始まり
balanced_2,ポモリン,2,バランス型,協調性があり多才,時間の精霊が成長し調和の力を得た姿,#FF6B6B,基本的な集中力・基本的な成長・適応力,調和の化身
focused_2,フォーカス,2,集中型,分析的で冷静,集中の結晶が成長し深い洞察力を得た,#4ECDC4,基本的な集中・基本的な集中力・ディープワーク,集中力の開花
consistent_2,コンスタ,2,継続型,粘り強く安定している,永遠の炎が安定し不動の意志を得た,#F39C12,基本的な成長・基本的な集中・ストリーク保護,安定した成長
balanced_focused_2,ポモフォーカ,2,バランス・集中型,柔軟で集中力も高い,調和と集中の融合体,#9370DB,基本的な集中力・基本的な集中・フロー状態,柔軟な集中
balanced_consistent_2,ポモコンティ,2,バランス・継続型,安定していて多才,調和と継続の結合,#4ECDC4,基本的な成長・適応力・ストリーク保護,安定した多才
focused_balanced_2,フォーカポモ,2,集中・バランス型,集中力があり柔軟,集中と調和の共存,#7986CB,基本的な集中・適応力・ディープワーク,集中的な柔軟性
focused_consistent_2,フォーカコン,2,集中・継続型,集中力と継続力を兼ね備える,集中と継続の融合,#5E35B1,基本的な集中・ストリーク保護・ディープワーク,持続的な集中
consistent_balanced_2,コンポモ,2,継続・バランス型,継続力があり多才,継続と調和の統合,#FFA726,基本的な成長・適応力・習慣化マスター,継続的な多才
consistent_focused_2,コンフォーカ,2,継続・集中型,継続的に集中できる,継続と集中の合流,#FF7043,基本的な集中・習慣化マスター・フロー状態,継続的集中
balanced_balanced_balanced_3,ポモディア,3,超バランス型,万能で適応力が高い,時間の守護者として覚醒した調和の化身,#FF6B6B,基本的な集中力・基本的な成長・適応力・多才性,守護者の覚醒
focused_focused_focused_3,フォーカリス,3,超集中型,超集中力の持ち主,集中の北極星となり導きの光を放つ,#4ECDC4,基本的な集中・基本的な集中力・ディープワーク・フロー状態,導きの星
consistent_consistent_consistent_3,コンスタンツァ,3,超継続型,継続の達人,永遠の炎が強大な力となり不滅の意志を宿す,#F39C12,基本的な成長・基本的な集中・ストリーク保護・習慣化マスター,不滅の意志
balanced_focused_consistent_3,トライフォース,3,三属性バランス型,全ての能力を兼ね備えた万能型,三つの力が完璧に調和した存在,#8BC34A,適応力・ディープワーク・ストリーク保護・実績ハンター,三位一体
balanced_focused_balanced_3,ポモウィズ,3,知恵と集中型,知的で冷静バランスの取れた判断力を持つ,知恵と集中のマスター,#8E44AD,適応力・ディープワーク・多才性・実績ハンター,知恵の具現
consistent_balanced_consistent_3,コンセイジ,3,継続の賢者型,忍耐強く安定した成長を続ける,継続の賢者,#D35400,ストリーク保護・適応力・習慣化マスター・効率的な休憩,賢者の忍耐
focused_consistent_focused_3,フォカゼン,3,禅の集中型,瞑想的で深い集中力を持つ,禅の集中マスター,#2980B9,ディープワーク・ストリーク保護・フロー状態・効率的な休憩,禅の境地
ninja_focused_3,シノビ・フォウ,3,忍者集中型,静かで素早く影のように集中する,忍者の精神を宿し影のように集中する,#2C3E50,ディープワーク・フロー状態・忍者の集中力・効率的な休憩,影の集中
samurai_consistent_3,ブシドウ・コン,3,侍継続型,規律正しく揺るぎない意志を持つ,武士道の精神を体現し不動の意志を貫く,#C0392B,ストリーク保護・習慣化マスター・侍の規律・実績ハンター,武士道の体現
balanced_balanced_balanced_balanced_4,ポモドーラ,4,究極バランス型,完璧なバランスの達人,時間と調和の守護王として君臨,#E91E63,適応力・多才性・実績ハンター・ゲームマスター・特別なアンロック,時の守護王
focused_focused_focused_focused_4,フォーカリオン,4,究極集中型,超人的な集中力の持ち主,集中の獅子王・精神の王者,#3F51B5,ディープワーク・フロー状態・効率的な休憩・ゲームマスター・タイムワープ,精神の獅子王
balanced_consistent_focused_balanced_4,ポモセージ,4,調和の賢者型,全ての要素を調和させる賢者,調和の賢者,#16A085,適応力・ストリーク保護・ディープワーク・実績ハンター・特別なアンロック,調和の賢者
focused_balanced_focused_consistent_4,フォカロード,4,集中の支配者型,強力な集中力と継続性を兼ね備えた支配者,集中の支配者,#5D3FD3,ディープワーク・多才性・フロー状態・ストリーク保護・タイムワープ,集中の支配者
consistent_focused_consistent_balanced_4,コンタイタン,4,継続の巨人型,揺るぎない意志と継続力を持つ巨人,継続の巨人,#F39C12,ストリーク保護・ディープワーク・習慣化マスター・多才性・ゲームマスター,不動の巨人
dragon_balanced_4,リュウジン,4,龍バランス型,威厳があり強大な力を秘める,龍神の力を宿し天地を調和させる存在,#E74C3C,適応力・多才性・ドラゴンブレス・ゲームマスター・特別なアンロック,龍神の化身
phoenix_consistent_4,ホウオウ,4,不死鳥継続型,何度でも立ち上がる不屈の精神,鳳凰の再生力を得て永遠に続く意志を宿す,#F39C12,ストリーク保護・習慣化マスター・フェニックスの再生・実績ハンター・タイムワープ,不死鳥の再生
balanced_balanced_balanced_balanced_balanced_5,ポモディウス,5,伝説バランス型,伝説の存在,時の神として覚醒し全てを調和させる存在,#C2185B,適応力・多才性・実績ハンター・ゲームマスター・特別なアンロック・タイムワープ,時の神
balanced_focused_consistent_balanced_focused_5,ポモエンペラー,5,時間の皇帝型,時間を支配する皇帝全ての能力を極めた存在,時間の皇帝,#6C3483,適応力・ディープワーク・ストリーク保護・実績ハンター・特別なアンロック・タイムワープ,時間の皇帝
focused_consistent_focused_consistent_focused_5,フォカルクス,5,集中の覇王型,圧倒的な集中力と継続力を持つ覇王,集中の支配者,#1A237E,ディープワーク・ストリーク保護・フロー状態・習慣化マスター・効率的な休憩・タイムワープ,集中の覇王
consistent_balanced_consistent_balanced_consistent_5,コンステルナ,5,永遠の継続者型,永遠に続く意志と安定した成長を持つ存在,永遠の星,#FF5722,ストリーク保護・適応力・習慣化マスター・多才性・実績ハンター・特別なアンロック,永遠の星
kitsune_focused_5,キュウビ,5,九尾の狐型,神秘的で賢く古い知恵を持つ,九尾の狐の古い知恵と神秘の力を操る,#9B59B6,ディープワーク・フロー状態・狐の知恵・ゲームマスター・特別なアンロック・タイムワープ,九尾の神秘